loan_id,no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term,fico_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
25,0, Not Graduate, No,49000,98000,16,324,38000,87000,100000,33000, Rejected
26,5, Not Graduate, No,31000,95000,20,514,79000,31000,66000,26000, Rejected
27,4, Graduate, No,82000,281000,12,696,115000,106000,253000,72000, Approved
28,4, Not Graduate, Yes,24000,56000,4,662,45000,42000,54000,25000, Approved
29,5, Not Graduate, Yes,70000,240000,6,336,23000,119000,275000,97000, Rejected
30,3, Not Graduate, Yes,90000,315000,10,850,218000,124000,337000,80000, Approved
31,2, Not Graduate, No,98000,253000,12,313,202000,52000,255000,93000, Rejected
32,2, Graduate, No,57000,120000,6,363,36000,74000,217000,43000, Rejected
33,1, Not Graduate, Yes,8000,16000,10,436,7000,2000,22000,10000, Rejected
34,5, Not Graduate, Yes,84000,220000,2,830,38000,39000,199000,54000, Approved
35,3, Graduate, No,49000,119000,8,612,97000,12000,190000,58000, Approved
36,2, Graduate, Yes,17000,34000,8,691,27000,28000,60000,9000, Approved
37,3, Not Graduate, No,16000,62000,18,636,34000,7000,53000,14000, Approved
38,5, Graduate, Yes,80000,272000,6,348,64000,3000,167000,71000, Rejected
39,5, Graduate, No,36000,77000,16,830,70000,13000,100000,29000, Approved
40,3, Not Graduate, Yes,15000,51000,6,352,1000,2000,56000,9000, Rejected
41,1, Graduate, No,78000,181000,2,712,86000,112000,217000,90000, Approved
42,2, Not Graduate, No,91000,249000,16,822,223000,121000,310000,52000, Approved
43,3, Graduate, No,14000,34000,6,540,2000,15000,39000,8000, Rejected
44,2, Graduate, Yes,8000,23000,12,342,22000,13000,18000,8000, Rejected
45,5, Graduate, No,65000,134000,18,787,182000,3000,162000,54000, Approved
46,4, Graduate, No,80000,278000,16,331,130000,63000,214000,109000, Rejected
47,3, Not Graduate, Yes,42000,146000,6,679,24000,69000,87000,49000, Approved
48,1, Graduate, Yes,49000,191000,14,677,54000,91000,177000,65000, Approved
49,3, Not Graduate, No,55000,205000,12,634,8000,86000,185000,82000, Approved
50,1, Not Graduate, Yes,95000,191000,16,662,1000,105000,377000,117000, Approved
51,4, Graduate, No,73000,254000,16,502,5000,18000,205000,105000, Rejected
52,2, Graduate, No,87000,247000,10,435,68000,35000,218000,113000, Rejected
53,5, Not Graduate, No,38000,76000,4,689,87000,1000,93000,34000, Approved
54,1, Not Graduate, Yes,84000,230000,12,657,154000,148000,319000,82000, Approved
55,2, Graduate, Yes,51000,197000,20,590,74000,93000,194000,34000, Approved
56,5, Not Graduate, No,67000,245000,12,818,12000,56000,163000,62000, Approved
57,2, Not Graduate, No,43000,106000,18,431,21000,15000,93000,52000, Rejected
58,5, Graduate, Yes,93000,305000,18,841,193000,103000,346000,87000, Approved
59,1, Graduate, No,74000,184000,20,421,185000,91000,175000,41000, Rejected
60,4, Not Graduate, Yes,55000,182000,16,797,-1000,49000,186000,48000, Approved
61,2, Not Graduate, No,85000,189000,18,478,238000,163000,259000,114000, Rejected
62,3, Not Graduate, Yes,96000,305000,18,669,47000,19000,265000,93000, Approved
63,5, Not Graduate, Yes,88000,289000,6,365,244000,86000,274000,47000, Rejected
64,3, Not Graduate, Yes,33000,75000,20,586,16000,56000,105000,29000, Approved
65,4, Graduate, Yes,39000,123000,18,784,76000,69000,131000,28000, Approved
66,1, Graduate, No,41000,103000,12,364,95000,61000,149000,28000, Rejected
67,3, Not Graduate, No,83000,291000,10,715,61000,119000,241000,119000, Approved
68,0, Not Graduate, Yes,27000,101000,20,693,2000,17000,59000,14000, Rejected
69,4, Graduate, No,56000,124000,4,777,55000,31000,118000,55000, Approved
70,0, Graduate, No,19000,50000,12,312,40000,28000,49000,24000, Rejected
71,4, Not Graduate, Yes,5000,15000,20,340,1000,2000,19000,6000, Rejected
72,5, Graduate, Yes,53000,186000,4,386,27000,97000,119000,42000, Approved
73,5, Not Graduate, No,70000,183000,4,418,184000,117000,215000,76000, Rejected
74,3, Not Graduate, Yes,58000,167000,16,735,39000,94000,126000,56000, Approved
75,2, Not Graduate, No,26000,84000,6,494,65000,38000,56000,20000, Rejected
76,2, Not Graduate, No,19000,65000,18,671,6000,25000,48000,11000, Approved
77,4, Graduate, No,57000,148000,16,697,143000,78000,129000,63000, Approved
78,0, Graduate, No,90000,335000,8,801,116000,89000,354000,111000, Approved
79,2, Not Graduate, No,85000,294000,12,576,176000,56000,252000,90000, Approved
80,0, Not Graduate, No,7000,14000,14,639,19000,7000,24000,9000, Approved
81,4, Graduate, No,35000,89000,4,470,13000,22000,123000,20000, Rejected
82,0, Not Graduate, No,88000,312000,4,826,29000,5000,333000,86000, Approved
83,2, Not Graduate, Yes,99000,212000,16,363,255000,114000,266000,68000, Rejected
84,3, Graduate, No,36000,86000,20,613,94000,3000,103000,33000, Approved
85,3, Not Graduate, Yes,30000,82000,16,713,53000,58000,110000,34000, Approved
86,2, Graduate, No,68000,212000,16,439,171000,47000,233000,36000, Rejected
87,5, Not Graduate, Yes,11000,38000,18,387,13000,12000,38000,16000, Rejected
88,1, Not Graduate, Yes,87000,283000,8,402,204000,136000,279000,102000, Rejected
89,4, Graduate, Yes,20000,80000,6,837,51000,26000,39000,29000, Approved
90,2, Not Graduate, No,98000,376000,10,641,241000,0,234000,76000, Approved
91,4, Graduate, No,57000,211000,18,489,5000,43000,125000,60000, Rejected
92,4, Graduate, No,88000,207000,18,540,192000,32000,224000,127000, Rejected
93,4, Graduate, No,38000,89000,4,844,91000,35000,131000,47000, Approved
94,1, Graduate, No,17000,64000,10,452,9000,11000,56000,21000, Rejected
95,2, Graduate, No,10000,20000,10,366,12000,4000,32000,13000, Rejected
96,5, Graduate, No,3000,11000,2,300,1000,5000,7000,4000, Approved
97,2, Graduate, Yes,66000,150000,18,470,12000,48000,182000,70000, Rejected
98,2, Not Graduate, No,87000,250000,20,861,147000,85000,232000,73000, Approved
99,4, Graduate, No,94000,294000,12,562,259000,152000,364000,71000, Approved
100,0, Graduate, No,44000,108000,14,463,24000,48000,138000,47000, Rejected
101,4, Not Graduate, No,4000,9000,12,478,7000,1000,12000,1000, Rejected
102,2, Not Graduate, Yes,3000,11000,2,702,3000,2000,5000,2000, Approved
103,2, Not Graduate, Yes,43000,129000,20,618,114000,36000,114000,24000, Approved
104,4, Graduate, No,16000,45000,12,633,7000,17000,41000,19000, Approved
105,5, Not Graduate, Yes,62000,236000,10,331,185000,103000,238000,87000, Rejected
106,3, Not Graduate, Yes,42000,97000,16,841,78000,3000,167000,51000, Approved
107,4, Not Graduate, Yes,90000,181000,12,764,6000,165000,208000,116000, Approved
108,0, Graduate, No,27000,106000,6,591,13000,27000,99000,18000, Approved
109,1, Graduate, Yes,97000,359000,2,719,196000,76000,204000,109000, Approved
110,2, Graduate, No,33000,68000,14,317,34000,3000,117000,36000, Rejected
111,0, Not Graduate, No,3000,11000,8,778,8000,2000,9000,1000, Approved
112,3, Graduate, Yes,74000,182000,14,302,56000,31000,179000,50000, Rejected
113,5, Not Graduate, No,71000,197000,8,502,73000,56000,253000,98000, Rejected
114,5, Not Graduate, Yes,73000,221000,18,879,195000,106000,193000,98000, Approved
115,1, Not Graduate, No,84000,234000,14,437,154000,58000,334000,81000, Rejected
116,0, Not Graduate, Yes,33000,108000,12,797,6000,60000,77000,33000, Approved
117,4, Not Graduate, Yes,58000,232000,18,456,161000,42000,226000,75000, Rejected
118,0, Not Graduate, No,6000,16000,6,647,15000,6000,15000,7000, Approved
119,0, Not Graduate, No,72000,158000,12,379,127000,122000,215000,36000, Rejected
120,1, Not Graduate, Yes,91000,329000,2,717,22000,20000,236000,59000, Approved
121,5, Graduate, No,9000,23000,16,545,1000,2000,27000,8000, Rejected
122,2, Graduate, No,8000,32000,8,317,3000,10000,20000,9000, Rejected
123,1, Not Graduate, No,85000,329000,10,570,51000,62000,205000,55000, Approved
124,0, Not Graduate, Yes,90000,187000,18,865,268000,0,209000,113000, Approved
125,3, Graduate, No,70000,195000,14,719,122000,103000,182000,102000, Approved
126,3, Graduate, No,2000,6000,16,821,4000,1000,5000,1000, Approved
127,4, Not Graduate, Yes,4000,8000,10,859,9000,5000,8000,2000, Approved
128,3, Not Graduate, No,51000,182000,10,395,1000,80000,155000,63000, Rejected
129,2, Not Graduate, Yes,7000,26000,12,429,16000,13000,27000,8000, Rejected
130,3, Graduate, No,4000,12000,12,861,2000,6000,11000,2000, Approved
131,0, Not Graduate, Yes,95000,208000,14,565,151000,119000,339000,134000, Approved
132,5, Graduate, No,88000,226000,10,357,79000,86000,182000,49000, Rejected
133,3, Not Graduate, Yes,18000,36000,18,465,6000,5000,54000,26000, Rejected
134,4, Not Graduate, Yes,68000,139000,8,479,117000,91000,257000,96000, Rejected
135,3, Not Graduate, No,15000,55000,16,717,21000,8000,44000,13000, Approved
136,3, Graduate, No,16000,55000,12,425,6000,8000,54000,9000, Rejected
137,2, Not Graduate, No,46000,167000,2,786,2000,59000,139000,61000, Approved
138,5, Not Graduate, Yes,22000,67000,6,382,44000,13000,86000,11000, Rejected
139,3, Not Graduate, Yes,29000,85000,12,564,10000,31000,75000,18000, Approved
140,0, Graduate, No,2000,7000,8,501,5000,2000,7000,1000, Rejected
141,2, Not Graduate, Yes,25000,94000,10,727,66000,41000,95000,33000, Approved
142,4, Not Graduate, No,36000,75000,6,894,11000,65000,74000,28000, Approved
143,0, Graduate, Yes,55000,167000,18,829,55000,13000,128000,59000, Approved
144,4, Not Graduate, No,66000,174000,20,506,26000,100000,259000,72000, Rejected
145,2, Graduate, Yes,86000,321000,6,802,94000,167000,245000,98000, Approved
146,5, Not Graduate, No,6000,15000,14,543,3000,9000,21000,3000, Rejected
147,3, Graduate, Yes,14000,32000,20,772,24000,9000,51000,16000, Approved
148,3, Graduate, No,40000,111000,12,572,97000,1000,125000,24000, Approved
149,0, Not Graduate, Yes,49000,119000,16,709,146000,9000,185000,38000, Approved
150,5, Graduate, No,20000,62000,18,402,40000,21000,72000,11000, Rejected
151,1, Not Graduate, Yes,52000,193000,8,481,143000,95000,188000,42000, Rejected
152,5, Graduate, Yes,89000,288000,6,772,136000,55000,204000,84000, Approved
153,1, Graduate, Yes,65000,206000,2,306,159000,19000,181000,32000, Approved
154,2, Not Graduate, No,13000,45000,6,415,0,9000,29000,12000, Rejected
155,3, Not Graduate, No,94000,350000,16,548,182000,44000,361000,48000, Rejected
156,5, Not Graduate, No,50000,112000,8,701,91000,5000,140000,46000, Approved
157,2, Graduate, No,30000,77000,12,890,47000,43000,84000,21000, Approved
158,5, Not Graduate, Yes,99000,333000,6,364,53000,187000,278000,83000, Rejected
159,5, Graduate, Yes,7000,13000,20,704,16000,0,22000,6000, Approved
160,3, Graduate, Yes,40000,106000,10,318,15000,51000,80000,49000, Rejected
161,5, Not Graduate, No,31000,96000,2,761,58000,18000,104000,42000, Approved
162,4, Not Graduate, No,45000,151000,6,693,37000,15000,178000,60000, Approved
163,3, Not Graduate, No,97000,206000,16,524,242000,111000,274000,61000, Rejected
164,2, Not Graduate, Yes,20000,53000,10,681,49000,14000,43000,29000, Approved
165,2, Graduate, Yes,81000,223000,18,737,223000,126000,270000,73000, Approved
166,0, Not Graduate, No,57000,159000,16,638,1000,95000,163000,45000, Approved
167,4, Not Graduate, No,58000,128000,2,656,5000,50000,160000,28000, Approved
168,1, Graduate, No,18000,65000,6,540,25000,32000,50000,11000, Rejected
169,4, Not Graduate, Yes,91000,352000,6,341,10000,3000,231000,82000, Rejected
170,0, Not Graduate, Yes,48000,175000,2,371,117000,68000,187000,35000, Approved
171,3, Not Graduate, Yes,38000,105000,12,886,40000,5000,149000,23000, Approved
172,0, Not Graduate, No,19000,41000,18,801,4000,8000,48000,12000, Approved
173,3, Not Graduate, Yes,36000,95000,16,748,77000,24000,97000,26000, Approved
174,2, Not Graduate, Yes,74000,282000,8,376,219000,50000,174000,52000, Rejected
175,4, Not Graduate, Yes,66000,143000,8,371,108000,95000,185000,74000, Rejected
176,2, Graduate, No,18000,53000,6,826,45000,7000,65000,13000, Approved
177,4, Not Graduate, No,92000,272000,12,873,45000,18000,338000,114000, Approved
178,5, Not Graduate, Yes,24000,86000,8,309,5000,6000,57000,28000, Rejected
179,4, Not Graduate, No,56000,133000,20,869,33000,75000,200000,65000, Approved
180,5, Graduate, No,38000,139000,12,534,47000,29000,82000,28000, Rejected
181,3, Not Graduate, Yes,45000,179000,6,787,98000,36000,143000,42000, Approved
182,0, Graduate, Yes,9000,22000,16,566,1000,7000,20000,6000, Approved
183,0, Not Graduate, No,28000,99000,8,742,49000,13000,67000,17000, Approved
184,2, Not Graduate, No,75000,231000,4,824,121000,109000,263000,95000, Approved
185,4, Graduate, No,14000,31000,14,575,30000,21000,49000,14000, Approved
186,2, Graduate, Yes,38000,109000,10,766,19000,39000,86000,30000, Approved
187,1, Not Graduate, Yes,17000,50000,10,888,29000,9000,41000,22000, Approved
188,3, Graduate, Yes,90000,304000,6,638,168000,110000,269000,92000, Approved
189,5, Not Graduate, Yes,73000,233000,6,622,71000,116000,264000,105000, Approved
190,1, Not Graduate, No,74000,198000,18,458,126000,62000,277000,40000, Rejected
191,1, Not Graduate, No,90000,282000,16,327,17000,23000,240000,112000, Rejected
192,0, Not Graduate, No,30000,65000,2,612,88000,34000,67000,17000, Approved
193,1, Graduate, No,8000,29000,8,682,22000,11000,29000,7000, Approved
194,2, Graduate, No,48000,132000,2,583,137000,58000,95000,52000, Approved
195,5, Not Graduate, No,64000,183000,8,697,100000,36000,225000,36000, Approved
196,3, Graduate, No,92000,271000,12,306,58000,115000,280000,96000, Rejected
197,4, Not Graduate, Yes,4000,15000,2,669,-1000,6000,9000,5000, Approved
198,2, Not Graduate, No,28000,60000,18,816,63000,42000,80000,34000, Approved
199,4, Not Graduate, Yes,85000,289000,20,455,152000,58000,225000,94000, Rejected
200,3, Graduate, Yes,47000,164000,10,318,114000,81000,162000,43000, Rejected
201,4, Not Graduate, Yes,98000,212000,20,355,220000,89000,318000,144000, Rejected
202,2, Not Graduate, Yes,38000,89000,16,389,2000,56000,122000,22000, Rejected
203,2, Graduate, No,5000,15000,2,888,15000,3000,15000,6000, Approved
204,2, Graduate, Yes,69000,156000,6,352,130000,53000,226000,100000, Rejected
205,4, Not Graduate, Yes,96000,301000,12,870,3000,67000,382000,56000, Approved
206,3, Not Graduate, No,29000,65000,18,827,83000,6000,104000,32000, Approved
207,2, Graduate, No,98000,209000,12,768,34000,102000,386000,134000, Approved
208,0, Graduate, No,71000,154000,18,707,103000,108000,196000,58000, Approved
209,1, Not Graduate, Yes,77000,191000,10,355,113000,49000,219000,66000, Rejected
210,3, Graduate, No,14000,33000,2,652,1000,21000,35000,19000, Approved
211,3, Graduate, No,78000,159000,2,665,144000,9000,272000,54000, Approved
212,5, Not Graduate, Yes,17000,60000,18,420,5000,16000,37000,23000, Rejected
213,2, Not Graduate, No,85000,327000,18,471,126000,94000,339000,125000, Rejected
214,5, Not Graduate, No,19000,75000,20,715,51000,28000,65000,28000, Approved
215,2, Not Graduate, Yes,67000,152000,10,689,0,82000,150000,68000, Approved
216,3, Graduate, Yes,69000,164000,4,787,111000,61000,264000,38000, Approved
217,2, Graduate, No,26000,78000,4,819,31000,43000,57000,15000, Approved
218,4, Graduate, Yes,96000,211000,6,809,161000,95000,347000,87000, Approved
219,1, Not Graduate, Yes,68000,170000,2,744,155000,39000,237000,35000, Approved
220,0, Not Graduate, No,32000,113000,6,484,35000,55000,85000,21000, Rejected
221,4, Not Graduate, No,29000,104000,6,673,51000,17000,106000,17000, Approved
222,3, Graduate, Yes,79000,212000,18,695,138000,106000,218000,49000, Approved
223,4, Not Graduate, Yes,39000,124000,12,473,64000,47000,131000,38000, Rejected
224,4, Graduate, Yes,46000,110000,2,491,90000,40000,161000,35000, Rejected
225,3, Not Graduate, Yes,7000,17000,8,733,12000,8000,24000,5000, Approved
226,0, Not Graduate, No,52000,156000,20,434,141000,58000,181000,55000, Rejected
227,3, Not Graduate, Yes,59000,206000,10,777,19000,46000,212000,64000, Approved
228,4, Graduate, No,72000,191000,4,774,94000,70000,179000,36000, Approved
229,1, Not Graduate, Yes,87000,270000,10,717,255000,86000,175000,91000, Approved
230,3, Not Graduate, Yes,11000,35000,12,503,30000,4000,22000,12000, Rejected
231,1, Graduate, Yes,40000,109000,14,598,36000,66000,136000,44000, Approved
232,2, Graduate, No,98000,324000,2,543,242000,175000,257000,77000, Approved
233,0, Not Graduate, Yes,27000,68000,20,796,7000,42000,70000,19000, Approved
234,3, Not Graduate, Yes,88000,346000,8,386,148000,165000,184000,60000, Rejected
235,5, Not Graduate, Yes,33000,78000,16,632,85000,5000,71000,49000, Approved
236,1, Graduate, Yes,69000,234000,4,481,187000,11000,234000,102000, Approved
237,3, Graduate, Yes,9000,35000,4,770,7000,0,20000,6000, Rejected
238,3, Graduate, Yes,41000,155000,6,667,28000,16000,147000,40000, Approved
239,3, Not Graduate, Yes,47000,175000,8,585,12000,31000,96000,49000, Approved
240,5, Graduate, Yes,34000,116000,16,479,92000,57000,112000,24000, Rejected
241,2, Graduate, No,96000,225000,18,851,74000,162000,243000,127000, Approved
242,3, Not Graduate, Yes,70000,162000,6,378,200000,126000,203000,55000, Rejected
243,5, Graduate, No,57000,129000,18,807,41000,9000,186000,55000, Approved
244,1, Not Graduate, Yes,82000,324000,18,831,228000,123000,177000,78000, Approved
245,2, Not Graduate, No,21000,51000,12,674,22000,32000,64000,24000, Approved
246,1, Not Graduate, Yes,80000,281000,18,725,19000,128000,230000,75000, Approved
247,2, Not Graduate, No,80000,293000,4,600,165000,132000,294000,65000, Approved
248,0, Not Graduate, Yes,94000,270000,10,536,44000,17000,338000,48000, Rejected
249,0, Graduate, No,84000,206000,10,477,15000,15000,250000,119000, Rejected
250,1, Not Graduate, Yes,19000,50000,6,560,10000,19000,63000,14000, Approved
251,0, Not Graduate, Yes,42000,164000,20,539,95000,21000,114000,31000, Rejected
252,5, Graduate, No,26000,91000,8,852,37000,7000,103000,33000, Approved
253,3, Not Graduate, No,37000,85000,20,853,83000,57000,75000,49000, Approved
254,0, Graduate, No,88000,309000,12,729,17000,7000,257000,114000, Approved
255,2, Not Graduate, No,21000,47000,2,546,60000,32000,57000,15000, Rejected
256,3, Graduate, Yes,9000,24000,10,489,8000,0,28000,5000, Rejected
257,3, Graduate, Yes,98000,354000,6,869,144000,164000,228000,103000, Approved
258,2, Not Graduate, No,80000,200000,2,502,41000,22000,316000,99000, Rejected
259,0, Graduate, No,98000,388000,8,652,232000,190000,297000,54000, Approved
260,0, Not Graduate, Yes,3000,11000,8,789,4000,1000,8000,4000, Approved
261,4, Not Graduate, No,27000,81000,4,325,50000,8000,99000,34000, Approved
262,3, Graduate, Yes,74000,196000,2,716,41000,89000,291000,42000, Approved
263,3, Graduate, No,92000,343000,18,523,256000,40000,291000,88000, Rejected
264,5, Not Graduate, No,95000,222000,20,352,245000,0,308000,70000, Rejected
265,5, Graduate, Yes,38000,144000,2,345,33000,8000,130000,47000, Approved
266,0, Graduate, No,83000,194000,18,649,25000,161000,243000,113000, Approved
267,2, Graduate, Yes,28000,74000,18,666,1000,23000,63000,34000, Approved
268,0, Graduate, No,86000,209000,10,813,113000,119000,260000,48000, Approved
269,0, Not Graduate, No,54000,168000,10,599,53000,74000,145000,76000, Approved
270,5, Graduate, Yes,42000,94000,6,678,47000,55000,99000,57000, Approved
271,5, Not Graduate, No,52000,122000,20,513,134000,20000,168000,54000, Rejected
272,5, Graduate, No,94000,279000,4,870,11000,2000,295000,104000, Approved
273,3, Graduate, No,88000,204000,8,483,32000,114000,282000,118000, Rejected
274,1, Graduate, Yes,59000,167000,16,308,58000,88000,191000,53000, Rejected
275,3, Graduate, Yes,17000,49000,16,591,47000,10000,43000,14000, Approved
276,1, Not Graduate, No,70000,230000,10,886,140000,37000,267000,36000, Approved
277,4, Not Graduate, No,17000,40000,6,829,0,16000,52000,17000, Approved
278,0, Not Graduate, No,15000,49000,12,651,16000,28000,46000,8000, Approved
279,4, Not Graduate, No,20000,47000,18,733,37000,37000,70000,28000, Approved
280,5, Graduate, Yes,39000,155000,12,433,95000,54000,79000,46000, Rejected
281,1, Graduate, Yes,9000,36000,14,713,13000,10000,18000,12000, Approved
282,1, Graduate, No,69000,225000,18,403,8000,84000,169000,63000, Rejected
283,0, Graduate, Yes,28000,78000,10,405,78000,25000,71000,34000, Rejected
284,3, Graduate, Yes,68000,199000,10,516,160000,60000,260000,85000, Rejected
285,4, Not Graduate, Yes,6000,18000,8,417,17000,7000,18000,8000, Rejected
286,1, Not Graduate, No,47000,140000,6,468,113000,18000,106000,46000, Rejected
287,5, Graduate, Yes,30000,118000,10,672,87000,36000,98000,41000, Approved
288,5, Not Graduate, No,40000,139000,6,530,60000,56000,125000,60000, Rejected
289,1, Not Graduate, Yes,31000,113000,14,824,37000,60000,110000,44000, Approved
290,1, Not Graduate, Yes,77000,255000,12,549,181000,106000,205000,70000, Rejected
291,5, Not Graduate, Yes,43000,93000,10,450,21000,67000,100000,41000, Rejected
292,1, Graduate, Yes,58000,195000,20,431,138000,50000,156000,33000, Rejected
293,3, Graduate, Yes,36000,107000,16,312,23000,16000,131000,52000, Rejected
294,0, Not Graduate, Yes,29000,76000,8,320,80000,56000,96000,31000, Rejected
295,0, Graduate, No,88000,202000,4,433,160000,42000,305000,124000, Rejected
296,1, Not Graduate, Yes,3000,10000,10,431,4000,5000,9000,1000, Rejected
297,5, Not Graduate, Yes,86000,289000,8,516,99000,18000,302000,68000, Rejected
298,2, Not Graduate, Yes,35000,120000,14,476,11000,68000,124000,29000, Rejected
299,5, Graduate, No,8000,26000,6,560,1000,2000,30000,10000, Approved
300,2, Graduate, No,80000,271000,12,674,144000,4000,253000,64000, Approved
301,0, Not Graduate, Yes,99000,382000,6,573,172000,100000,201000,59000, Approved
302,2, Not Graduate, No,33000,66000,6,331,63000,20000,89000,27000, Rejected
303,4, Graduate, Yes,20000,67000,12,633,1000,8000,48000,20000, Approved
304,3, Not Graduate, No,49000,129000,18,877,18000,70000,179000,33000, Approved
305,5, Not Graduate, Yes,92000,236000,12,656,14000,112000,364000,49000, Approved
306,0, Not Graduate, No,75000,182000,6,782,74000,120000,198000,41000, Approved
307,5, Not Graduate, No,90000,293000,4,531,104000,95000,355000,58000, Approved
308,3, Not Graduate, No,14000,41000,8,455,30000,14000,29000,21000, Rejected
309,3, Graduate, No,96000,199000,14,452,42000,162000,285000,66000, Rejected
310,2, Graduate, No,84000,332000,14,474,196000,150000,254000,115000, Rejected
311,3, Not Graduate, No,64000,244000,4,483,78000,24000,191000,45000, Approved
312,4, Graduate, No,59000,168000,8,481,69000,114000,195000,33000, Rejected
313,2, Graduate, Yes,22000,51000,20,859,38000,12000,64000,31000, Approved
314,4, Graduate, Yes,56000,141000,14,696,90000,92000,165000,68000, Approved
315,4, Not Graduate, No,98000,287000,6,778,166000,74000,297000,111000, Approved
316,4, Graduate, No,44000,146000,4,499,13000,65000,161000,57000, Approved
317,2, Not Graduate, Yes,24000,49000,4,888,64000,43000,51000,34000, Approved
318,1, Graduate, No,44000,108000,12,674,96000,27000,172000,53000, Approved
319,4, Graduate, No,37000,132000,4,802,98000,24000,125000,43000, Approved
320,4, Not Graduate, Yes,23000,78000,8,540,15000,34000,47000,28000, Rejected
321,4, Graduate, Yes,59000,196000,8,726,174000,68000,201000,80000, Approved
322,4, Not Graduate, Yes,64000,235000,2,485,73000,27000,236000,39000, Approved
323,4, Graduate, Yes,49000,171000,6,612,13000,70000,195000,50000, Approved
324,3, Not Graduate, Yes,95000,242000,8,879,31000,172000,264000,127000, Approved
325,2, Not Graduate, No,57000,164000,12,708,37000,8000,150000,44000, Approved
326,2, Not Graduate, Yes,27000,57000,8,850,35000,50000,105000,39000, Approved
327,2, Not Graduate, Yes,39000,113000,12,516,31000,0,104000,46000, Rejected
328,0, Not Graduate, No,78000,288000,12,465,47000,75000,288000,74000, Rejected
329,0, Graduate, No,11000,32000,20,716,18000,14000,36000,15000, Approved
330,4, Not Graduate, No,2000,6000,10,404,0,1000,4000,0, Rejected
331,0, Not Graduate, Yes,47000,106000,20,512,84000,40000,123000,70000, Rejected
332,3, Not Graduate, Yes,82000,206000,10,441,161000,114000,291000,61000, Rejected
333,2, Not Graduate, Yes,46000,184000,2,555,77000,24000,142000,42000, Approved
334,5, Not Graduate, No,18000,70000,18,466,26000,21000,60000,19000, Rejected
335,3, Graduate, Yes,32000,86000,2,427,39000,18000,71000,47000, Rejected
336,4, Not Graduate, Yes,55000,200000,14,593,151000,27000,199000,49000, Approved
337,3, Graduate, No,79000,183000,10,731,42000,34000,222000,84000, Approved
338,1, Graduate, Yes,40000,101000,16,451,70000,39000,143000,39000, Rejected
339,3, Not Graduate, Yes,68000,169000,18,628,36000,9000,156000,49000, Approved
340,1, Not Graduate, No,27000,94000,18,704,53000,23000,64000,24000, Approved
341,2, Not Graduate, No,68000,235000,12,341,193000,118000,143000,85000, Rejected
342,5, Graduate, No,86000,210000,8,465,117000,149000,195000,99000, Rejected
343,4, Graduate, No,80000,301000,4,431,119000,138000,188000,115000, Approved
344,1, Graduate, Yes,37000,126000,10,424,54000,11000,142000,44000, Rejected
345,0, Graduate, No,26000,51000,14,678,5000,12000,60000,31000, Approved
346,4, Graduate, No,42000,168000,6,381,96000,38000,148000,59000, Rejected
347,5, Graduate, Yes,80000,280000,10,449,185000,15000,174000,39000, Rejected
348,1, Not Graduate, No,71000,235000,12,768,64000,121000,224000,73000, Approved
349,0, Not Graduate, No,20000,70000,6,666,0,12000,43000,14000, Rejected
350,4, Not Graduate, Yes,58000,133000,14,742,161000,93000,163000,70000, Approved
